id,en,jp,trans
8,I know already. I know crossing the Grim Basin is treacherous enough to delay him.,自分でもわかってるんです……<br>瘴流域を越えるんだから、<br>到着予定日に誤差はあるだろうし……,当然我自己也明白，<br>要跨越瘴流域的话，<br>抵达的预定日期大概是会有误差的。
9,I know my father is so stubborn that he would never just... go so easily.,それに父さんほどの人が、<br>そう簡単に……その、<br>死んだりするはずない、って……,还有，父亲那样的强者，应该……<br>不会那么容易出事……
10,"I know that, and I believe it. But I can't help but worry...",わかってて……信じてるのに……<br>でも、どうしても不安で……,我明明知道……也相信着……<br>但是无论如何还是感到不安……
11,"Lecia squeezes her hand into a fist, trying to hold back her feelings.",<span class='scene-font-katari'>リーシャは何かを堪えるように、</span><br><span class='scene-font-katari'>固く拳を握りしめる。</span>,<span class='scene-font-katari'>莉夏像是在忍受着什么似的，</span><br><span class='scene-font-katari'>紧紧握住了拳头。</span>
12,But Io reaches out and gently clasps her fist with both hands.,<span class='scene-font-katari'>そんなリーシャの手を、</span><br><span class='scene-font-katari'>イオは両手で優しく包み込むのだった。</span>,<span class='scene-font-katari'>看着这样的莉夏，</span><br><span class='scene-font-katari'>伊欧伸出双手温柔地包裹住了莉夏的手。</span>
13,"I know how you feel. When my master went missing, I was in agony.",わかるわ……その気持ち。<br>あたしも師匠が行方不明になったとき、<br>居ても立ってもいられなかったもん……,这种心情我知道的哦。<br>我师父失踪的那段时间里，<br>我也是坐立不安的。
14,Io.,イオ……,伊欧……
15,Huh？,……あれ？,……咦？
16,"In that moment, Lyria looks as if she senses the faint aura of a primal beast.",<span class='scene-font-katari'>その瞬間、</span><br><span class='scene-font-katari'>わずかな星晶獣の気配に、</span><br><span class='scene-font-katari'>ルリアは振り返る。</span>,<span class='scene-font-katari'>那一瞬间，</span><br><span class='scene-font-katari'>露莉亚感受到了轻微的星晶兽的气息。</span>
17,？,……？,……？
18,"What's wrong, Lyria？",どうした？　ルリア。,怎么了，露莉亚？
19,"I sensed a primal beast just now, but its aura just... disappeared.",いま、少しだけ星晶獣の気配が……<br>でもすぐに消えちゃって……,刚才，我稍微感受到了<br>一点星晶兽的气息，<br>但它很快就消失了。
20,"You mean they've got primal beasts in the Dydroit Belt, too？",この<span class='scene-font-place'>ダイダロイトベルト</span>にも、<br>星晶獣がいるってのか？,在这个<span class='scene-font-place'>碎石环</span>也有星晶兽吗？
21,"Well, that's not hard to believe.",ありえない話じゃないわね……,也不是什么不可能的事。
22,"This island, so close to the Grim Basin, must've been very important to the Astrals.",瘴流域にかかるこの島は、<br>星の民にとっても<br>重要な島だったでしょうし……,这座岛屿与瘴流域如此接近，<br>对于星之民而言也是十分重要的岛吧。
23,"Oy oy！If we've got primal beasts, then things are about to get messy.",おいおい……<br>星晶獣がいるってんじゃ、<br>一気に話はややこしくなるぞ……,喂喂……<br>和星晶兽有关系的话，<br>事情突然就变得有些棘手了呀。
24,"Lecia's pops isn't here yet, and maybe now we know why...",リーシャの親父さんが、<br>なかなか来ねぇってのも、<br>もしかすると……,莉夏的老爹没按预定赶到，<br>说不定是因为……
25,Hmmm...,……うう。,………
26,Don't let your imaginations get the best of you. Let's be patient and focus on the work in front of us.,いまは推測でものを語るのはよそう。<br>待つことしか出来ない以上、<br>目の前の仕事に集中するんだ。,只是一些推测而已，<br>既然现在只能等待，<br>那么就先集中精神处理眼前的工作吧。
27,"Besides, if we don't keep up the pace, we'll be the laughingstock of the station！",さぁ……<br>秩序の騎空団の足を引っ張っては、<br>笑われてしまうぞ。,如果扯了秩序骑空团的后腿<br>可是会被笑话的哦。
28,"After our ordeal with the Empire, they've got some high expectations of us. We can't let them down！",帝国との決着以降、<br>私達に期待をかけてくれている者も多い。<br>その期待に応えるとしようじゃないか！,解决了帝国的事情以来，<br>对我们抱有期待的人很多，<br>让我们去回应这份期待吧！
info,1,1,scene_cp66_q4_s10
